player,team,market,line,status,source
Michael Penix Jr.,ATL,pass_yards,206.5,,DraftKings snapshot 2026-09-24
Michael Penix Jr.,ATL,rush_yards,4.5,,DraftKings snapshot 2026-09-24
Bijan Robinson,ATL,rush_yards,78.5,,DraftKings snapshot 2026-09-24
Bijan Robinson,ATL,rec_yards,39.5,,DraftKings snapshot 2026-09-24
Brian Robinson Jr.,ATL,rush_yards,21.5,,DraftKings snapshot 2026-09-24
Drake London,ATL,rec_yards,67.5,,DraftKings snapshot 2026-09-24
Jahan Dotson,ATL,rec_yards,16.5,,DraftKings snapshot 2026-09-24
Jonnu Smith,ATL,rec_yards,8.5,,DraftKings snapshot 2026-09-24
Kyle Pitts Sr.,ATL,rec_yards,36.5,,DraftKings snapshot 2026-09-24
Olamide Zaccheaus,ATL,rec_yards,9.5,,DraftKings snapshot 2026-09-24
Jordan Love,GB,pass_yards,230.5,,DraftKings snapshot 2026-09-24
Jordan Love,GB,rush_yards,7.5,,DraftKings snapshot 2026-09-24
Christian Watson,GB,rec_yards,72.5,,DraftKings snapshot 2026-09-24
Matthew Golden,GB,rec_yards,54.5,,DraftKings snapshot 2026-09-24
Tucker Kraft,GB,rec_yards,46.5,,DraftKings snapshot 2026-09-24
Skyy Moore,GB,rec_yards,11.5,,DraftKings snapshot 2026-09-24
MarShawn Lloyd,GB,rush_yards,24.5,,DraftKings snapshot 2026-09-24
MarShawn Lloyd,GB,rec_yards,5.5,,DraftKings snapshot 2026-09-24
Kaleb Johnson,GB,rush_yards,38.5,,DraftKings snapshot 2026-09-24
Chris Brooks,GB,rush_yards,14.5,,DraftKings snapshot 2026-09-24
Chris Brooks,GB,rec_yards,5.5,,DraftKings snapshot 2026-09-24
